ts	phase	decision	why	evidence	result
2026-09-07T15:33:42.7020551Z	freeze	Recorded frozen source and a copied self-review ledger	Keep review probes out of root state	root-before.json	744 inputs and 77 runs recorded
2026-09-07T15:33:42.7020551Z	scope	Reviewed core, execution, experience and stored-state paths in parallel	Cover the entire project without overlapping writes	core/findings.json; execution/findings.json; experience/findings.json; root-findings.json	Owned scope dispositions saved
2026-09-07T15:33:42.7020551Z	self-check	Ran inventory, worklist, duplication, coupling and verify on the frozen clone	Exercise Crapkit on its own current source	self-commands.json; self-verify.json	All five commands exit 0; clone verify run 78 passes
2026-09-07T15:33:42.7020551Z	verification	Ran focused existing contract checks beside new reproductions	Separate suite health from newly discovered gaps	core/focused-checks.txt; execution/bounded-checks.json; root-tests.xml	348 passed; one POSIX-only skip
2026-09-07T15:33:42.7020551Z	probe-correction	Used verify --emit-baseline for the portable record control	Coverage --export is a scored export and lacks the required baseline stamp	probe_records.py; records-result.json	Control reads back; U+2028 case fails
2026-09-07T15:33:42.7020551Z	probe-correction	Repeated packet control with matching percent-variable environments	The direct and emitted commands must receive the same environment	probe_records.py; records-result.json	Packet expands path; direct command preserves it
2026-09-07T15:33:42.7020551Z	integration	Independently reviewed root probes and checked stored baseline trust	Confirm that contradictory verdict output affects later admission	execution/integration-review.json	Failed exit-9 run is selected as trusted baseline
2026-09-07T15:33:42.7020551Z	measurement	Checked explicit JUnit count mismatch through a fresh lane	Completion admission differs between normal lane and retry	execution/junit-admission-result.json	Declared 10 cases with one case is accepted by the lane
2026-09-07T15:33:42.7020551Z	selection	Kept synthetic duplicate allocation as Worth exploring	Representative consumer frequency has not been measured	core/duplication-results.json	No production performance claim
2026-09-07T15:43:15.6420690Z	report	Validated every candidate link and assigned source-module path	The report must be reviewable and cover its stated scope	report-validation.json	17 cards; 34 figures; all 69 source modules indexed
