utc	id	decision	reason	evidence
2026-09-06T17:50:03.537420+00:00	pytest-config	config.py owns disk and in-memory pytest decoding; scaffold imports it	Use the existing owner and shared boundary; avoid another parallel implementation	6 red cases; 104 focused tests passed
2026-09-06T17:50:03.537420+00:00	lane-evidence	config rejects duplicate names and shared normalized artifacts; retry evidence pending integration	Use the existing owner and shared boundary; avoid another parallel implementation	4 red cases; 85 focused tests passed
2026-09-06T17:50:03.537420+00:00	process-owner	doctor version probe uses run_bounded and TemporaryFile; template glue pending	Use the existing owner and shared boundary; avoid another parallel implementation	escaped-child regression failed then passed; remaining 30 process/doctor checks passed
2026-09-06T17:50:03.537420+00:00	mcp-schemas	shared packet properties and worklist item schema; serialized TOOLS unchanged	Use the existing owner and shared boundary; avoid another parallel implementation	59 MCP tests passed; SHA256 e169f66b601e4634c43c30eb9bbd3d756e4e5f44344f5683de1ce2d04da537ff
2026-09-06T17:50:03.537420+00:00	action-reentry	per-invocation mktemp directory propagated through step outputs; owned base worktree cleaned	Use the existing owner and shared boundary; avoid another parallel implementation	2 red cases; actual Git Bash invocation and 88 Action/CI tests passed
2026-09-06T17:50:03.537420+00:00	ci-evidence	hook-precommit --base compares current index with event merge base; CI runs it once	Use the existing owner and shared boundary; avoid another parallel implementation	2 CLI regressions failed then passed; invalid base refuses; CI durations captured
2026-09-06T18:05:39.479215+00:00	cache	Reader and preprocessing chain key analysis entries; malformed caches miss	implemented; final integrated verification still required	Integrated; 38 focused cache tests plus compatibility checks passed
2026-09-06T18:05:39.479215+00:00	coverage-reader	Strict streaming grammar, one-pass projections and per-run collector integrated; report glue pending store	in progress; final integrated verification still required	177 integrated lane/verifier/reader checks passed; full suites pending
2026-09-06T18:05:39.479215+00:00	lane-evidence	Unique lane and resolved artifact paths; retries require fresh explicit passing requested IDs	implemented; final integrated verification still required	177 integrated checks; lane identity5 tests; full suites pending
2026-09-06T18:05:39.479215+00:00	mutation-inputs	Same captured tracked/untracked changes and deletions seed every worker count; cleanup honors pool lock	implemented; final integrated verification still required	241 owned unit and17 e2e checks passed before integration; full suites pending
2026-09-06T18:05:39.479215+00:00	mutation-tokens	Pygments executable tokens replace word matching; comments and identifiers excluded	implemented; final integrated verification still required	241 owned unit checks;11 admitted-language fixtures; full suites pending
2026-09-06T18:05:39.479215+00:00	twins-cost	Reject insufficient similarity before constructing result dictionaries	implemented; final integrated verification still required	Five warm synthetic samples:7.2681 to0.0033 MiB, outputs equal
2026-09-06T18:05:39.479215+00:00	process-owner	Doctor uses bounded tree cleanup, framed version response and controlled UTF-8	implemented; final integrated verification still required	22 doctor tests; real escaped child, stderr warning, and Jose venv tests passed
2026-09-06T18:05:39.479215+00:00	argument-data	Retry and scoped execution share literal template transport; unmatched placeholders preserve original shell behavior	implemented; final integrated verification still required	Actual Windows child argv;4 scoped/base CLI tests and16 template/retry tests passed
2026-09-06T18:05:39.479215+00:00	portable-test	Mutation test no-op invokes current Python instead of POSIX true	implemented; final integrated verification still required	Owned mutation tests passed; baseline sole failure removed
2026-09-06T18:05:39.479215+00:00	admin-size	Keep command-family adapter; config and process rules already have shared owners	retained; final integrated verification still required	Independent source review: another extraction would move lines without removing a decision
2026-09-06T18:05:39.479215+00:00	ci-evidence	Actual changed-function gate uses event merge base; retain OS/Python matrix	implemented; final integrated verification still required	Committed-violation e2e passes; latest CI baseline148s ubuntu3.12,706s windows3.12,623s dogfood
2026-09-06T18:21:52.051381+00:00	fresh-review	Repair seven reproduced execution/configuration/delivery defects before final validation	Independent actual-command and temporary-repository probes	Repairs assigned to isolated owners; first integrated full unit suite running
2026-09-06T19:56:38.912345+00:00	first-configured-verification	Repair measured test and coverage gaps without overriding or raising marks	run68 refused3findings;3924passed2skipped1failed	SQLite ledger and captured lane/verify output
2026-09-06T19:56:38.912345+00:00	same-line-identity	Preserve each parsed callback through occurrence-aware records and versioned debt/claim identity	Integrated49files;3public CLI regression tests pass	Explicit legacy collision refusal; unchanged unrelated marks; no inferred old row order
2026-09-06T20:22:33.118283+00:00	final-admission-review	Repair reproduced retention, cache, numeric and metric migration gaps before shipping	Independent public CLI and reader replays; full suites run on frozen source	Incremental isolated patches only; no debt override or release publication
2026-09-06T21:09:37.2382158Z	final-full-suites	Keep the production source frozen for configured verification	3434 unit passed;717 e2e passed,2 skipped; staged hook passed	unit-verified.log; e2e-verified.log; staged-hook-final.log; verification-final input hashes
2026-09-06T21:51:30.7111906Z	cache-admission-coverage	Add public persisted-cache regressions after the real self-verification refused insufficient coverage	27 passed; _cached_record 8/8 statements and 6/6 branches; _cached_rows 3/3 statements and 2/2 branches	Test-only repair; staged hook passes; full configured verification restarted without overrides
2026-09-06T21:54:06.0140431Z	advisory-latency	Retain the opt-in timing failure and record paired release measurements	41.04 ms against40 ms;50 paired blocks show no resolved source slowdown;both versions over budget	No samples discarded;no code or threshold changes;advisory-latency-review.md and raw data retained
2026-09-06T22:03:32.2276240Z	commit-evidence-binding	Match complete committed and working inputs to the actual passing run before reusing artifacts	16 disposable fixture checks pass; coverage digest is tied to its SQLite run	JUnit bytes first hashed at finalization; its complete zero-failure counts must match the run; no claim of an original stored JUnit digest
2026-09-06T22:24:27.5378591Z	verified-implementation-commit	Commit only after the real configured self-verification passed	Run70:4170 passed,2skipped,0findings; c24e6a4 normal hook passed;run71 committed verify passed	480 input paths matched;478 committed bytes exact;two named JSON line-ending exceptions;107 later documentation contracts passed
