ts	phase	decision	why	evidence	result
2026-09-06T23:48:50.300736+00:00	scope	Implement all 18 review candidates in four isolated workstreams	User authorized every opportunity	47629ea14ddea38e55ce2332d08297c31888acb9; implementation.md	in progress
2026-09-06T23:48:50.368923+00:00	RT1	Concentrate type and field admission with schema and doctor vocabulary	Malformed shapes silently changed the corpus	tests/unit/test_config_shapes.py; work/implementation/config-red.log	15 new checks red before fix; 155 focused checks green
2026-09-07T00:04:56.667773+00:00	RT5	Use one serial-unit and parallel-CLI runner for development, CI and the self lane	The old self lane ran CLI tests serially and duplicated the schedule	tests/unit/test_suite_schedule.py	3 real subprocess scenarios pass including either suite failing
2026-09-07T00:04:56.829699+00:00	RT2	Compare base and candidate wheels in separate environments with full ledger transfer	Editable candidate imports invalidated base measurements	tests/unit/test_ci_verdict.py; work/implementation/wheel-install-proof.json	Coverage-only regression refused; installed source mapping and mismatch refusal verified
2026-09-07T00:04:57.122972+00:00	RT4	Generate operational facts and correct authored mutation guidance	Version support and suite commands drifted from behavior	tools/docs/generate.py; tests/unit/test_generated_guidance.py	111 focused doc/config contracts pass
2026-09-07T00:28:21.177135+00:00	integration	Integrate AN1-AN4 and ST1-ST6	Focused public seam tests passed; shared locks dependency already integrated	d3a2137;e064046;work/implementation/evidence-analysis-rerun;work/implementation/state-evidence	16 of 18 candidates integrated; EX3 and RT3 still in progress
2026-09-07T00:28:21.248649+00:00	RT5	Keep serial unit and eight-worker CLI schedule	Same 133 baseline CLI cases pass with exact identity digest; parallel elapsed time is lower	work/implementation/schedule-benchmark.json	92.21 seconds serial;39.40 seconds with8workers;not a full-suite estimate
2026-09-07T00:58:10.850338+00:00	integration	Refuse first full self measurement and fix its test/instrumentation seams	Fresh serial-unit and parallel-CLI run exposed stale cache fixture, global SQLite interception, nested coverage ownership and read-side freshness coupling	work/implementation/self-first-result.json;self-first-junit.xml;self-first-lane.log;self-first-input-match.json	Exit5;no trusted new run;all source/test inputs matched captured39f610c throughout measurement
2026-09-07T00:58:10.921848+00:00	RT3	Integrate immutable release artifacts and recovery readbacks	73 focused release checks plus actual offline wheel/sdist build and Twine replay passed; independent review main-advance retry repaired	f9c2efd;work/implementation/evidence-release-rerun/completion.md	All18 candidates implemented; integrated full verification remains incomplete
2026-09-07T01:15:19.607749+00:00	integration	Integrate final RT5 and EX1 repairs before clean-wheel measurement	Nested pytest must not combine outer data; line display needs source freshness rather than strict rerun identity	32a5f6e;6ab8c12;state-evidence/review/RT5-isolation.md;evidence-execution-rerun/read-side-completion.md	39 RT5 focused checks and original parallel init case pass; final source c205602 frozen for full CI pair
2026-09-07T01:15:19.679751+00:00	performance	Keep the strict startup budget and record the host result	Baseline and current imported source bytes match and paired latency difference spans zero	evidence-advisory-startup/conclusion.md;evidence-advisory-startup/results.json	50 paired runs; median change -0.0812 ms; strict 40 ms budget unmet by both snapshots; no production timing change
2026-09-07T01:25:03.593093+00:00	review	Repair cross-module gaps found by the final independent pass	Direct runner shared lane artifacts; nested-root reuse omitted parent inputs; release writes inherited different destinations	evidence-execution-rerun/final-owner-runner-probe.json;evidence-execution-rerun/final-nested-reuse-probe.json;evidence-release-rerun	Failing public reproductions retained; fixes in isolated checkouts while full wheel pair continues
2026-09-07T01:25:03.684718+00:00	verification	Keep historical wheel-test failures visible and repair current test contracts	Tests assumed package and repository locations coincide; dev extra omitted YAML; global coverage config reached nested pytest	final-ci.log;tools/testing/ci.py;tests/unit/test_powershell_admission.py;tests/unit/test_version_metadata_cost.py	Baseline unit 3396 passed and 2 failed; baseline e2e 716 passed and 1 failed; actual candidate measurement still running
2026-09-07T12:30:46.832784+00:00	integration	Integrate final independent-review repairs and clean-wheel contracts	Whole-worktree reuse, separate direct output and pinned release destinations close proved gaps; installed wheels expose source-location assumptions	ac95ae7;6e01dde;f614ac9;3c80921;d33099d;12edf91	Focused evidence passes; first complete wheel attempt retained as refused; full final comparison follows final admission fix
2026-09-07T12:30:46.994630+00:00	verification	Remove inherited tracing at miniature-package fixture boundary	The first wheel candidate data contained a deleted fake crapkit package and could not emit its JSON	96036fc;contamination/red.json;contamination/green.json;contamination/check-source.py	Red artifact includes foreign source; 11 focused tests pass with zero foreign source and 69 real package files
