"id"	"opportunity"	"owner"	"status"	"implementation"	"validation"	"disposition"
"trust"	"Keep trust evidence when pruning runs"	"store"	"verified"	"Prune preserves verify evidence, baseline dependencies and one witness per collision group; deletion uses only observed run IDs"	"Original store checks plus 19 current-root/retention tests and 59 affected e2e passed; paired historical failures remain in final-state-review.md"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"lane-evidence"	"Make every verdict account for its test evidence"	"root+execution"	"verified"	"Unique lane and resolved artifact paths; retries require fresh explicit passing requested IDs"	"177 integrated checks; lane identity 5 tests; configured run70 passed all4170 tests"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"identity"	"Finish adopting per-function identity"	"store"	"verified"	"Occurrence reaches rows, exports, SQLite and keys; reader-version proof protects legacy anonymous marks and old-snapshot claims"	"196 reader-migration checks passed; all 13 new cases plus claim competition passed; three affected CLI reruns passed"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"claims"	"Reserve work atomically"	"store"	"verified"	"Atomic reservation and owner-specific release; claims from unproved JavaScript-family snapshots hold the raw-name group"	"Competing-process e2e and 74 claim/handle checks passed"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"cache"	"Include the reader in analysis-cache identity"	"analysis"	"verified"	"Reader class, preprocessing chain and shared typed-syntax mode key analysis entries; malformed caches miss"	"Cold/warm JSX-to-TSX and same-mode rename regressions pass; shared admission batch: 307 passed; 27 persisted-cache checks pass, including18 new admission cases; both cache decoders have100% statements and branches"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"store-open"	"Let current stores open without migration writes"	"store"	"verified"	"Current schema opens without migration writes; deferred upgrades preserve old databases"	"Read-only contention regressions and store focused suite passed"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"pytest-config"	"Read pytest configuration once, consistently"	"root"	"verified"	"config.py owns disk and in-memory pytest decoding; scaffold imports it"	"6 red cases; 104 focused tests passed"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"mutation-inputs"	"Give mutation workers the same checkout"	"execution"	"verified"	"Snapshot the entire Git checkout for nested project roots, including dirty parent inputs"	"Focused regressions pass; configured run70 passed all4170 tests"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"mutation-tokens"	"Generate mutants from executable tokens"	"execution"	"verified"	"Executable token mutation protects type arguments and rejects unresolved changed angle syntax"	"Focused regressions pass; configured run70 passed all4170 tests"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"coverage-reader"	"Concentrate coverage decoding in the stream"	"analysis+execution+store"	"verified"	"Strict streaming grammar and finite numeric admission; one-pass lane projections, selected contexts and per-run missing-line collector"	"Shared admission batch: 307 passed; synthetic selected-context output equal with 25.0934 to 6.016 MiB warm peak"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"twins-cost"	"Filter twin candidates before building results"	"analysis"	"verified"	"Reject insufficient similarity before constructing result dictionaries"	"Five warm synthetic samples: 7.2681 to 0.0033 MiB, outputs equal"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"process-owner"	"Use one owner for subprocess deadlines"	"root+execution"	"verified"	"Doctor uses bounded tree cleanup, framed version response and controlled UTF-8"	"22 doctor tests; real escaped child, stderr warning, and Jose venv tests passed"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"retire"	"Retire obsolete production reachability"	"root+analysis"	"verified"	"Retired discovery module, production parser/merge oracles, unused coupling helpers and private CLI facade; callers use actual owners"	"204 integrated CLI/reader/identity checks plus 47 coupling/packet checks passed"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"baseline-cost"	"Select baseline history with one ordered walk"	"store"	"verified"	"One ordered history walk selects a trusted baseline and refusal evidence"	"History and digest regressions passed"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"mcp-schemas"	"Reuse identical MCP schema fragments"	"root"	"verified"	"shared packet properties and worklist item schema; serialized TOOLS unchanged"	"59 MCP tests passed; SHA256 e169f66b601e4634c43c30eb9bbd3d756e4e5f44344f5683de1ce2d04da537ff"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"admin-size"	"Evaluate admin responsibility concentration after shared-reader fixes"	"root"	"retained"	"Keep command-family adapter; config and process rules already have shared owners"	"Independent source review: another extraction would move lines without removing a decision"	"Keep the command-family adapter; no further extraction justified."
"ci-evidence"	"Measure CI cost and enforce actual changed-code gating"	"root"	"verified"	"Actual changed-function gate uses event merge base; retain OS/Python matrix"	"Committed-violation e2e passes; latest CI baseline 148s ubuntu 3.12,706s windows 3.12,623s dogfood"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"action-reentry"	"Isolate repeated Action invocation state"	"root"	"verified"	"per-invocation mktemp directory propagated through step outputs; owned base worktree cleaned"	"2 red cases; actual Git Bash invocation and 88 Action/CI tests passed"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"release-guards"	"Enforce release prerequisites and portable execution"	"root"	"verified"	"Release prerequisites and receipts require actual version/tag/verify evidence; every Git/tag/CLI call obeys configured root"	"Focused regressions pass; configured run70 passed all4170 tests"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"argument-data"	"Preserve literal retry IDs and scoped-test arguments"	"execution+root"	"verified"	"Literal Windows/POSIX command data with empty-argument and static-expansion cases covered"	"Focused regressions pass; configured run70 passed all4170 tests"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
"portable-test"	"Replace POSIX-only mutation test no-op"	"execution"	"verified"	"Mutation test no-op invokes current Python instead of POSIX true"	"Owned mutation tests passed; baseline sole failure removed"	"Implemented in c24e6a4; configured run70 and committed run71 passed."
